STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,1997,,9290.432,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,1996,,9084.431,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2005,,18743.705,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2004,,17406.162,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2003,,14794.274,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2002,,11371.281,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2001,,9540.771,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2020,,24832.159,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2007,,24457.692,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2006,,20463.884,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
